sigmapred,sigmatrue,RMSE
59.637024,58.625,1.0120239
46.102234,45.625,0.4772339
62.69207,59.875,2.81707
84.25078,82.75,1.5007782
84.245804,80.375,3.8708038
81.49599,80.75,0.74598694
76.90578,75.75,1.155777
59.51714,58.625,0.89213943
62.742035,61.125,1.6170349
38.89205,38.75,0.1420517
67.09755,68.5,1.4024506
84.25079,85.625,1.3742065
70.655685,70.375,0.28068542
73.25125,72.875,0.37625122
43.07087,41.375,1.6958694
67.09749,66.5,0.5974884
48.60647,50.0,1.3935318
48.466923,49.5,1.0330772
48.32668,47.5,0.8266792
70.219025,69.875,0.34402466
43.07087,42.0,1.0708694
67.09748,65.375,1.7224808
40.53199,39.0,1.53199
67.09749,65.125,1.9724884
52.13782,51.75,0.3878212
59.631386,58.625,1.0063858
62.747437,62.375,0.37243652
82.9999,81.75,1.2499008
38.270763,38.5,0.2292366
73.12984,72.125,1.004837
73.25228,73.875,0.6227188
38.414917,37.125,1.289917
42.9267,42.375,0.5517006
53.065624,52.75,0.31562424
48.41097,48.125,0.28596878
76.90608,77.75,0.84391785
70.558395,70.75,0.19160461
67.09749,66.625,0.4724884
67.09749,66.0,1.0974884
53.065624,51.75,1.3156242
53.376766,53.375,0.0017662048
62.746872,62.25,0.49687195
62.946747,63.25,0.30325317
84.25079,85.125,0.87420654
84.25078,82.375,1.8757782
84.25079,83.375,0.87579346
73.25158,72.25,1.0015793
73.233,73.375,0.14199829
56.69226,55.75,0.94226074
80.39543,80.625,0.22956848
38.82195,38.75,0.071949005
56.69226,57.0,0.30773926
70.631676,70.25,0.38167572
84.25079,85.375,1.1242065
80.40604,81.0,0.5939636
70.5561,71.25,0.69390106
59.842678,59.625,0.21767807
50.077755,47.875,2.202755
73.24722,72.375,0.8722229
80.39479,80.375,0.01979065
56.821373,57.75,0.928627
70.49701,69.125,1.3720093
84.25067,82.75,1.5006714
48.737476,49.25,0.51252365
84.25079,82.625,1.6257935
53.065624,51.625,1.4406242
49.833916,51.375,1.5410843
38.41492,39.0,0.5850792
73.25161,73.625,0.3733902
62.74743,61.0,1.7474289
40.55346,40.375,0.17845917
43.07087,42.75,0.32086945
76.90578,75.375,1.530777
46.102234,44.875,1.2272339
80.39485,81.0,0.6051483
46.063225,44.375,1.6882248
67.097626,67.25,0.15237427
50.808826,51.625,0.81617355
80.39479,79.625,0.76979065
64.214226,63.625,0.58922577
70.5561,69.875,0.68109894
78.77345,76.875,1.8984528
84.25079,83.625,0.62579346
46.102234,44.125,1.9772339
59.764908,58.0,1.7649078
53.065586,51.625,1.4405861
43.07087,41.625,1.4458694
49.79267,49.75,0.042671204
60.595036,61.0,0.40496445
76.89807,75.375,1.5230713
62.74742,61.75,0.99742126
56.69226,56.125,0.56726074
45.959698,46.625,0.6653023
67.190094,67.125,0.065093994
62.74743,61.125,1.6224289
70.55987,71.25,0.69013214
53.438683,53.125,0.31368256
56.40154,54.25,2.1515388
40.53198,39.125,1.4069786
67.097534,66.875,0.22253418
80.16464,77.75,2.4146423
78.44712,78.0,0.44712067
43.07087,42.75,0.32086945
62.219803,60.875,1.3448029
59.76682,57.625,2.141819
68.01297,68.625,0.61203
53.356346,54.125,0.76865387
46.102234,44.875,1.2272339
56.69227,56.375,0.31726837
80.39433,79.0,1.3943329
76.905205,76.375,0.5302048
62.747055,60.25,2.497055
84.20187,81.125,3.0768738
67.09729,64.875,2.22229
63.02946,65.5,2.470539
76.90578,76.25,0.655777
56.82726,57.125,0.29774094
49.793743,47.625,2.1687431
43.070732,41.0,2.070732
50.043377,47.625,2.418377
62.739155,61.125,1.6141548
62.74743,61.75,0.9974289
46.107178,46.75,0.64282227
76.90578,75.75,1.155777
84.25079,84.125,0.12579346
62.74743,62.375,0.3724289
62.742634,60.0,2.7426338
62.11166,59.625,2.48666
72.09529,71.625,0.47029114
84.18999,81.25,2.9399872
43.07087,42.125,0.94586945
59.65877,58.75,0.9087715
73.2516,72.5,0.7516022
56.692352,57.625,0.9326477
43.07087,42.375,0.69586945
84.25079,84.0,0.25079346
56.69234,57.375,0.68265915
84.25079,82.875,1.3757935
40.53198,40.25,0.2819786
84.25011,81.75,2.5001068
62.747437,62.375,0.37243652
67.09749,65.5,1.5974884
56.692223,55.0,1.6922226
56.69226,55.75,0.94226074
80.39483,81.125,0.7301712
