sigmapred,sigmatrue,RMSE
58.597733,54.5,4.0977325
63.596676,60.75,2.8466759
57.96748,53.125,4.8424797
47.29084,45.375,1.9158401
85.18344,81.0,4.183441
71.77596,67.75,4.025963
45.68724,42.5,3.1872406
63.158195,58.25,4.9081955
44.704285,41.875,2.8292847
43.533253,40.125,3.4082527
75.4994,70.5,4.9993973
57.788406,54.125,3.6634064
46.706276,43.375,3.331276
61.375317,58.5,2.8753166
52.061104,49.5,2.5611038
71.062195,67.75,3.3121948
77.8285,72.75,5.078499
60.720936,56.875,3.8459358
69.33735,66.875,2.462349
86.952995,84.0,2.9529953
53.433594,47.875,5.5585938
68.252144,65.0,3.2521439
77.755066,74.5,3.255066
77.46236,73.25,4.2123566
82.62882,79.625,3.0038223
57.18436,53.625,3.5593605
53.194767,50.125,3.069767
54.216522,50.5,3.7165222
86.10994,85.75,0.35993958
44.819794,40.5,4.3197937
84.16168,80.75,3.4116821
45.54529,42.375,3.170292
70.14749,66.25,3.8974915
78.65778,74.25,4.4077835
63.58795,59.625,3.9629517
87.548454,85.625,1.9234543
51.852802,49.0,2.8528023
86.87162,82.875,3.9966202
86.708336,84.125,2.5833359
62.943314,59.25,3.6933136
81.06387,81.25,0.18612671
53.30664,50.625,2.6816406
43.494728,40.0,3.494728
59.395107,56.0,3.3951073
71.78955,68.75,3.0395508
44.907337,41.625,3.2823372
57.607105,54.875,2.7321053
82.66022,79.5,3.1602173
80.99118,76.375,4.6161804
80.18197,76.625,3.5569687
51.939846,47.375,4.564846
54.84468,51.625,3.2196808
48.12176,44.5,3.6217613
87.318245,84.375,2.943245
79.103195,75.375,3.7281952
59.03782,53.0,6.037819
45.683388,42.25,3.4333878
59.269657,55.625,3.6446571
45.87405,42.5,3.3740501
78.46619,74.75,3.7161865
52.990128,47.5,5.4901276
46.16869,44.125,2.0436897
69.18074,64.375,4.8057404
79.12068,75.125,3.9956818
76.58888,73.25,3.3388824
43.99065,40.625,3.3656502
61.22211,58.25,2.9721107
85.32582,83.0,2.325821
64.954254,61.125,3.8292542
61.51422,58.625,2.8892212
51.15315,47.375,3.7781487
55.17907,51.75,3.4290695
77.19452,73.0,4.194519
79.1391,75.625,3.5140991
78.09684,73.875,4.22184
59.161125,55.375,3.7861252
76.17589,72.875,3.300888
74.42735,71.125,3.302353
83.20161,79.75,3.4516068
80.48667,77.25,3.2366714
48.8518,46.0,2.851799
47.11089,43.75,3.3608894
69.93771,64.25,5.6877136
40.55433,38.875,1.6793289
73.74976,70.625,3.1247635
67.23749,63.375,3.8624878
60.40808,57.625,2.783081
71.39092,68.625,2.7659225
48.75723,45.375,3.3822289
74.84509,71.75,3.0950928
62.420353,58.5,3.920353
81.60356,77.875,3.7285614
40.71026,39.75,0.9602585
46.741116,40.5,6.2411156
77.31863,73.5,3.8186264
59.358334,54.0,5.3583336
59.830765,56.125,3.7057648
53.52628,42.125,11.401279
81.074165,76.875,4.1991653
78.14233,74.875,3.2673264
80.85223,76.375,4.4772263
69.1533,65.625,3.5282974
43.420506,40.125,3.2955055
63.369297,60.5,2.869297
64.930855,62.0,2.9308548
58.52983,53.875,4.654831
57.218594,54.25,2.9685936
42.599846,39.25,3.349846
72.591934,69.375,3.2169342
47.321976,43.125,4.1969757
46.59673,44.75,1.8467293
81.12002,77.625,3.495018
74.374855,70.375,3.999855
65.86041,60.625,5.2354126
87.99249,84.0,3.9924927
57.809616,51.75,6.059616
44.175804,43.0,1.1758041
49.767754,47.0,2.7677536
55.480587,52.0,3.480587
39.628338,37.0,2.6283379
76.99867,73.625,3.3736725
77.56453,73.75,3.8145294
82.75264,79.5,3.2526398
71.17159,67.25,3.9215927
42.564144,38.75,3.8141441
82.81662,78.375,4.44162
67.56825,64.125,3.4432526
73.656624,69.5,4.156624
86.599686,84.25,2.3496857
85.27873,81.5,3.7787323
55.35228,51.75,3.6022797
66.81397,63.625,3.1889725
55.020092,51.625,3.395092
47.916462,44.25,3.666462
59.15619,55.875,3.281189
78.670135,73.625,5.0451355
77.50057,72.75,4.750572
55.60873,53.0,2.6087303
53.976643,50.625,3.3516426
60.299107,55.125,5.1741066
73.80065,70.875,2.9256516
62.358,58.25,4.1080017
53.925743,50.625,3.300743
67.444626,63.375,4.069626
64.78071,61.0,3.7807083
85.15635,83.375,1.7813492
61.68414,58.625,3.0591393
69.39376,66.0,3.3937607
70.23608,66.875,3.3610764
41.769493,39.5,2.269493
77.89541,74.5,3.3954086
78.52369,74.125,4.3986893
70.32861,65.625,4.7036133
70.37898,66.875,3.5039825
71.56128,68.0,3.5612793
59.096676,55.125,3.9716759
79.8537,76.375,3.4786987
73.62428,68.875,4.749283
85.70238,82.0,3.7023773
42.24118,39.875,2.3661804
