sigmapred,sigmatrue,RMSE
50.956093,52.5,1.5439072
70.13275,61.125,9.007751
43.762222,41.0,2.7622223
45.41347,43.625,1.7884712
75.364525,68.125,7.239525
42.41111,41.375,1.0361099
46.591812,44.375,2.2168121
83.85716,78.25,5.6071625
73.62409,66.0,7.624092
31.06903,37.0,5.930969
40.550888,41.25,0.69911194
61.756287,57.875,3.8812866
53.588497,53.625,0.036502838
78.82525,68.25,10.575249
49.908695,48.625,1.2836952
85.464905,84.25,1.2149048
38.600155,39.375,0.7748451
41.833763,38.875,2.9587631
72.173546,66.125,6.048546
41.72225,41.375,0.3472519
63.82157,59.75,4.0715714
83.29318,76.25,7.0431824
91.570045,83.625,7.9450455
90.519295,81.5,9.019295
78.09871,66.375,11.723709
62.543583,58.25,4.293583
59.774487,54.75,5.0244865
42.72644,43.375,0.6485596
45.30132,43.75,1.5513191
88.47721,85.875,2.602211
41.13432,41.0,0.1343193
36.859924,41.5,4.6400757
59.716053,58.25,1.466053
81.88295,72.75,9.13295
86.00318,83.0,3.0031815
69.19321,65.25,3.9432068
58.642727,54.125,4.517727
49.86476,46.875,2.9897614
83.63608,77.25,6.386078
79.88319,71.875,8.008186
75.07052,67.0,8.0705185
84.23058,81.75,2.4805832
53.738556,54.625,0.8864441
77.10237,70.0,7.102371
82.74178,78.875,3.8667831
85.22386,81.25,3.9738617
83.512825,76.0,7.512825
72.809204,66.25,6.559204
76.23696,68.5,7.7369614
70.91228,62.5,8.412277
73.160194,65.625,7.5351944
67.87775,62.0,5.8777466
76.15016,67.375,8.775162
66.98621,63.0,3.9862137
38.81771,40.75,1.9322891
71.09366,64.625,6.4686584
84.47199,84.5,0.028007507
87.31738,82.0,5.317383
56.63376,56.375,0.25875854
40.271942,43.125,2.8530579
87.721375,85.625,2.0963745
67.99101,60.0,7.9910126
82.59964,77.625,4.97464
38.03129,37.375,0.65628815
40.515656,39.5,1.0156555
72.98077,63.125,9.855766
56.605457,53.5,3.1054573
73.49371,66.25,7.2437134
77.073654,68.125,8.948654
48.04049,44.25,3.7904892
72.616234,64.125,8.491234
49.965027,51.375,1.4099731
40.956367,42.125,1.1686325
87.98071,81.0,6.980713
86.310905,77.875,8.435905
42.865253,42.5,0.36525345
84.71808,78.875,5.8430786
73.56296,68.25,5.312958
72.431816,67.0,5.431816
79.10327,73.75,5.3532715
49.250195,48.0,1.2501945
68.21128,62.375,5.836281
66.76937,62.125,4.644371
