sigmapred,sigmatrue,RMSE
60.203213,58.0,2.2032127
60.203213,55.875,4.3282127
60.203213,69.625,9.421787
60.203213,38.0,22.203213
60.203213,80.5,20.296787
60.203213,63.0,2.7967873
60.203213,68.25,8.046787
60.203213,42.625,17.578213
60.203213,58.625,1.5782127
60.203213,66.875,6.6717873
60.203213,57.5,2.7032127
60.203213,67.125,6.9217873
60.203213,60.75,0.54678726
60.203213,70.125,9.921787
60.203213,37.5,22.703213
60.203213,38.0,22.203213
60.203213,69.0,8.796787
60.203213,79.0,18.796787
60.203213,41.25,18.953213
60.203213,52.5,7.7032127
60.203213,56.5,3.7032127
60.203213,40.625,19.578213
60.203213,79.875,19.671787
60.203213,67.375,7.1717873
60.203213,52.75,7.4532127
60.203213,42.0,18.203213
60.203213,80.625,20.421787
60.203213,55.75,4.4532127
60.203213,51.125,9.078213
60.203213,71.75,11.546787
60.203213,61.875,1.6717873
60.203213,67.5,7.2967873
60.203213,61.625,1.4217873
60.203213,77.625,17.421787
60.203213,58.375,1.8282127
60.203213,62.125,1.9217873
60.203213,52.0,8.203213
60.203213,59.625,0.57821274
60.203213,61.375,1.1717873
60.203213,57.25,2.9532127
60.203213,71.0,10.796787
60.203213,60.625,0.42178726
60.203213,52.75,7.4532127
60.203213,58.25,1.9532127
60.203213,46.375,13.828213
60.203213,41.25,18.953213
60.203213,72.25,12.046787
60.203213,44.875,15.328213
60.203213,43.25,16.953213
60.203213,54.125,6.0782127
60.203213,61.125,0.92178726
60.203213,74.625,14.421787
60.203213,61.75,1.5467873
60.203213,55.625,4.5782127
60.203213,50.25,9.953213
60.203213,41.5,18.703213
60.203213,52.0,8.203213
60.203213,81.25,21.046787
60.203213,77.375,17.171787
60.203213,50.625,9.578213
60.203213,69.875,9.671787
60.203213,67.75,7.5467873
60.203213,42.375,17.828213
60.203213,77.75,17.546787
60.203213,73.25,13.046787
60.203213,52.125,8.078213
60.203213,73.25,13.046787
60.203213,82.25,22.046787
60.203213,37.625,22.578213
60.203213,57.0,3.2032127
60.203213,85.25,25.046787
60.203213,66.25,6.0467873
60.203213,37.0,23.203213
60.203213,48.0,12.203213
60.203213,58.5,1.7032127
60.203213,66.5,6.2967873
60.203213,60.125,0.07821274
60.203213,61.75,1.5467873
60.203213,77.875,17.671787
60.203213,47.125,13.078213
60.203213,44.5,15.703213
60.203213,60.875,0.67178726
60.203213,68.25,8.046787
60.203213,46.75,13.453213
60.203213,69.375,9.171787
60.203213,77.625,17.421787
60.203213,40.375,19.828213
60.203213,56.5,3.7032127
60.203213,38.875,21.328213
60.203213,83.25,23.046787
60.203213,46.25,13.953213
60.203213,54.125,6.0782127
60.203213,51.5,8.703213
60.203213,58.5,1.7032127
60.203213,53.125,7.0782127
60.203213,81.75,21.546787
60.203213,38.5,21.703213
60.203213,64.5,4.2967873
60.203213,46.5,13.703213
60.203213,77.5,17.296787
60.203213,62.75,2.5467873
60.203213,43.0,17.203213
60.203213,58.25,1.9532127
60.203213,61.25,1.0467873
60.203213,39.625,20.578213
60.203213,59.25,0.95321274
60.203213,66.125,5.9217873
60.203213,63.0,2.7967873
60.203213,81.875,21.671787
60.203213,39.125,21.078213
60.203213,39.375,20.828213
60.203213,71.125,10.921787
60.203213,58.75,1.4532127
60.203213,48.875,11.328213
60.203213,55.0,5.2032127
60.203213,46.625,13.578213
60.203213,69.125,8.921787
60.203213,70.125,9.921787
60.203213,58.0,2.2032127
60.203213,82.0,21.796787
60.203213,44.5,15.703213
60.203213,43.375,16.828213
60.203213,55.75,4.4532127
60.203213,76.25,16.046787
60.203213,73.0,12.796787
60.203213,55.75,4.4532127
60.203213,42.875,17.328213
60.203213,56.125,4.0782127
60.203213,47.625,12.578213
60.203213,50.0,10.203213
60.203213,63.875,3.6717873
60.203213,58.375,1.8282127
60.203213,74.25,14.046787
60.203213,64.0,3.7967873
60.203213,74.625,14.421787
60.203213,54.375,5.8282127
60.203213,39.5,20.703213
60.203213,76.125,15.921787
60.203213,38.125,22.078213
60.203213,44.875,15.328213
60.203213,65.125,4.9217873
60.203213,81.0,20.796787
60.203213,71.125,10.921787
60.203213,79.375,19.171787
60.203213,83.0,22.796787
60.203213,46.875,13.328213
60.203213,83.375,23.171787
60.203213,49.75,10.453213
60.203213,56.125,4.0782127
60.203213,66.375,6.1717873
60.203213,69.125,8.921787
60.203213,64.625,4.4217873
60.203213,51.75,8.453213
60.203213,39.875,20.328213
60.203213,74.5,14.296787
60.203213,83.375,23.171787
60.203213,85.375,25.171787
60.203213,53.0,7.2032127
60.203213,56.625,3.5782127
60.203213,43.5,16.703213
60.203213,84.875,24.671787
60.203213,75.5,15.296787
60.203213,54.0,6.2032127
60.203213,66.875,6.6717873
60.203213,61.25,1.0467873
60.203213,53.125,7.0782127
60.203213,62.75,2.5467873
60.203213,82.125,21.921787
60.203213,45.125,15.078213
60.203213,69.375,9.171787
60.203213,46.875,13.328213
60.203213,81.25,21.046787
60.203213,70.5,10.296787
60.203213,80.5,20.296787
60.203213,40.875,19.328213
60.203213,55.875,4.3282127
60.203213,84.125,23.921787
60.203213,85.625,25.421787
60.203213,81.0,20.796787
60.203213,57.5,2.7032127
60.203213,60.25,0.046787262
60.203213,37.25,22.953213
60.203213,43.25,16.953213
60.203213,46.0,14.203213
60.203213,45.875,14.328213
60.203213,68.75,8.546787
60.203213,50.125,10.078213
60.203213,76.0,15.796787
60.203213,60.25,0.046787262
60.203213,54.0,6.2032127
60.203213,46.375,13.828213
60.203213,56.375,3.8282127
60.203213,52.0,8.203213
60.203213,77.75,17.546787
60.203213,50.0,10.203213
60.203213,48.75,11.453213
60.203213,77.75,17.546787
60.203213,74.75,14.546787
60.203213,56.375,3.8282127
60.203213,84.75,24.546787
60.203213,38.75,21.453213
60.203213,54.5,5.7032127
60.203213,81.625,21.421787
60.203213,41.625,18.578213
60.203213,50.0,10.203213
60.203213,61.75,1.5467873
60.203213,42.0,18.203213
60.203213,79.375,19.171787
60.203213,59.75,0.45321274
60.203213,73.375,13.171787
60.203213,64.375,4.1717873
60.203213,83.875,23.671787
60.203213,48.5,11.703213
60.203213,53.75,6.4532127
60.203213,39.625,20.578213
60.203213,38.75,21.453213
60.203213,47.625,12.578213
60.203213,70.875,10.671787
60.203213,75.375,15.171787
60.203213,74.0,13.796787
60.203213,37.625,22.578213
60.203213,61.75,1.5467873
60.203213,59.875,0.32821274
60.203213,76.875,16.671787
60.203213,42.0,18.203213
60.203213,76.875,16.671787
60.203213,63.5,3.2967873
60.203213,43.25,16.953213
60.203213,43.5,16.703213
60.203213,45.75,14.453213
60.203213,48.875,11.328213
60.203213,71.75,11.546787
60.203213,63.125,2.9217873
60.203213,70.75,10.546787
60.203213,41.125,19.078213
60.203213,57.375,2.8282127
60.203213,44.5,15.703213
60.203213,71.375,11.171787
60.203213,61.25,1.0467873
60.203213,53.5,6.7032127
60.203213,38.125,22.078213
60.203213,59.125,1.0782127
60.203213,68.875,8.671787
60.203213,44.375,15.828213
60.203213,74.625,14.421787
60.203213,66.5,6.2967873
60.203213,66.5,6.2967873
60.203213,81.25,21.046787
60.203213,37.125,23.078213
60.203213,57.375,2.8282127
60.203213,81.5,21.296787
60.203213,49.875,10.328213
60.203213,58.25,1.9532127
60.203213,72.375,12.171787
60.203213,72.75,12.546787
60.203213,65.125,4.9217873
60.203213,64.25,4.0467873
60.203213,39.0,21.203213
60.203213,54.875,5.3282127
60.203213,60.625,0.42178726
60.203213,47.125,13.078213
60.203213,65.125,4.9217873
60.203213,40.25,19.953213
60.203213,79.25,19.046787
60.203213,49.375,10.828213
60.203213,65.0,4.7967873
60.203213,76.375,16.171787
60.203213,50.5,9.703213
60.203213,62.625,2.4217873
60.203213,56.75,3.4532127
60.203213,48.625,11.578213
60.203213,52.625,7.5782127
60.203213,57.375,2.8282127
60.203213,61.375,1.1717873
60.203213,61.625,1.4217873
60.203213,65.25,5.0467873
60.203213,84.0,23.796787
60.203213,56.625,3.5782127
60.203213,41.125,19.078213
60.203213,73.125,12.921787
60.203213,62.0,1.7967873
60.203213,45.875,14.328213
60.203213,84.75,24.546787
60.203213,71.25,11.046787
60.203213,61.5,1.2967873
60.203213,48.0,12.203213
60.203213,74.875,14.671787
60.203213,57.5,2.7032127
60.203213,82.875,22.671787
60.203213,56.5,3.7032127
60.203213,65.375,5.1717873
60.203213,47.625,12.578213
60.203213,75.5,15.296787
60.203213,55.625,4.5782127
60.203213,51.0,9.203213
60.203213,83.125,22.921787
60.203213,78.25,18.046787
60.203213,62.0,1.7967873
60.203213,43.75,16.453213
60.203213,47.5,12.703213
60.203213,69.125,8.921787
60.203213,43.0,17.203213
60.203213,54.25,5.9532127
60.203213,63.625,3.4217873
60.203213,54.125,6.0782127
60.203213,45.5,14.703213
60.203213,58.625,1.5782127
60.203213,82.75,22.546787
60.203213,56.625,3.5782127
60.203213,66.25,6.0467873
60.203213,45.625,14.578213
60.203213,79.75,19.546787
60.203213,81.875,21.671787
60.203213,75.125,14.921787
60.203213,58.625,1.5782127
60.203213,72.375,12.171787
60.203213,85.5,25.296787
60.203213,69.125,8.921787
60.203213,73.125,12.921787
60.203213,75.0,14.796787
60.203213,62.125,1.9217873
60.203213,66.375,6.1717873
60.203213,68.75,8.546787
60.203213,69.25,9.046787
60.203213,64.25,4.0467873
60.203213,53.375,6.8282127
60.203213,78.125,17.921787
60.203213,62.5,2.2967873
60.203213,55.375,4.8282127
60.203213,55.625,4.5782127
60.203213,44.5,15.703213
60.203213,51.5,8.703213
60.203213,65.0,4.7967873
60.203213,76.125,15.921787
60.203213,74.125,13.921787
60.203213,62.375,2.1717873
60.203213,37.0,23.203213
60.203213,42.0,18.203213
60.203213,82.0,21.796787
60.203213,53.125,7.0782127
60.203213,75.625,15.421787
60.203213,77.375,17.171787
60.203213,67.625,7.4217873
60.203213,49.0,11.203213
60.203213,50.375,9.828213
60.203213,57.125,3.0782127
60.203213,81.75,21.546787
60.203213,47.25,12.953213
60.203213,67.0,6.7967873
60.203213,80.5,20.296787
60.203213,83.625,23.421787
60.203213,81.375,21.171787
60.203213,43.125,17.078213
60.203213,76.875,16.671787
60.203213,73.25,13.046787
60.203213,72.875,12.671787
60.203213,67.0,6.7967873
60.203213,73.375,13.171787
60.203213,39.375,20.828213
60.203213,45.375,14.828213
60.203213,77.5,17.296787
60.203213,69.625,9.421787
60.203213,74.75,14.546787
60.203213,51.75,8.453213
60.203213,62.25,2.0467873
60.203213,69.625,9.421787
60.203213,74.875,14.671787
60.203213,37.125,23.078213
60.203213,48.125,12.078213
60.203213,84.0,23.796787
60.203213,56.125,4.0782127
60.203213,42.5,17.703213
60.203213,39.5,20.703213
60.203213,47.625,12.578213
60.203213,81.125,20.921787
60.203213,51.5,8.703213
60.203213,65.875,5.6717873
60.203213,81.875,21.671787
60.203213,84.0,23.796787
60.203213,51.875,8.328213
60.203213,51.5,8.703213
60.203213,56.625,3.5782127
60.203213,68.125,7.9217873
60.203213,40.625,19.578213
60.203213,47.0,13.203213
60.203213,80.875,20.671787
60.203213,46.125,14.078213
60.203213,57.5,2.7032127
60.203213,49.875,10.328213
60.203213,68.0,7.7967873
60.203213,77.0,16.796787
60.203213,85.0,24.796787
60.203213,79.5,19.296787
60.203213,75.375,15.171787
60.203213,58.375,1.8282127
60.203213,57.375,2.8282127
60.203213,82.875,22.671787
60.203213,71.375,11.171787
60.203213,56.0,4.2032127
60.203213,80.125,19.921787
60.203213,53.75,6.4532127
60.203213,57.5,2.7032127
60.203213,67.5,7.2967873
60.203213,72.375,12.171787
60.203213,41.25,18.953213
60.203213,73.5,13.296787
60.203213,75.625,15.421787
60.203213,73.875,13.671787
60.203213,81.75,21.546787
60.203213,67.25,7.0467873
60.203213,58.25,1.9532127
60.203213,42.375,17.828213
60.203213,41.625,18.578213
60.203213,54.125,6.0782127
60.203213,63.875,3.6717873
60.203213,40.5,19.703213
60.203213,45.375,14.828213
60.203213,51.375,8.828213
60.203213,71.375,11.171787
60.203213,40.875,19.328213
60.203213,68.375,8.171787
60.203213,45.625,14.578213
60.203213,81.125,20.921787
60.203213,84.0,23.796787
60.203213,61.875,1.6717873
60.203213,52.375,7.8282127
60.203213,44.125,16.078213
60.203213,68.875,8.671787
60.203213,79.875,19.671787
60.203213,56.0,4.2032127
60.203213,73.5,13.296787
60.203213,82.125,21.921787
60.203213,60.25,0.046787262
60.203213,46.5,13.703213
60.203213,57.125,3.0782127
60.203213,41.0,19.203213
60.203213,50.25,9.953213
60.203213,37.5,22.703213
60.203213,48.375,11.828213
60.203213,63.625,3.4217873
60.203213,48.875,11.328213
60.203213,84.25,24.046787
60.203213,57.625,2.5782127
60.203213,62.25,2.0467873
60.203213,45.75,14.453213
60.203213,59.875,0.32821274
60.203213,61.875,1.6717873
60.203213,74.375,14.171787
60.203213,70.75,10.546787
60.203213,66.625,6.4217873
60.203213,76.125,15.921787
60.203213,74.125,13.921787
60.203213,56.875,3.3282127
60.203213,64.375,4.1717873
60.203213,37.5,22.703213
60.203213,66.125,5.9217873
60.203213,40.5,19.703213
60.203213,67.625,7.4217873
60.203213,50.25,9.953213
60.203213,75.0,14.796787
60.203213,82.25,22.046787
60.203213,67.625,7.4217873
60.203213,71.25,11.046787
60.203213,76.0,15.796787
60.203213,84.625,24.421787
60.203213,60.375,0.17178726
60.203213,41.5,18.703213
60.203213,54.25,5.9532127
60.203213,52.125,8.078213
60.203213,49.0,11.203213
60.203213,74.125,13.921787
60.203213,69.75,9.546787
60.203213,64.125,3.9217873
60.203213,46.0,14.203213
60.203213,58.375,1.8282127
60.203213,84.625,24.421787
60.203213,59.25,0.95321274
60.203213,57.75,2.4532127
60.203213,58.75,1.4532127
60.203213,65.625,5.4217873
60.203213,60.25,0.046787262
60.203213,61.125,0.92178726
60.203213,47.625,12.578213
60.203213,69.0,8.796787
60.203213,40.125,20.078213
60.203213,41.625,18.578213
60.203213,49.5,10.703213
60.203213,81.875,21.671787
60.203213,81.0,20.796787
60.203213,80.375,20.171787
60.203213,74.375,14.171787
60.203213,71.75,11.546787
60.203213,76.5,16.296787
60.203213,45.375,14.828213
60.203213,64.75,4.5467873
60.203213,51.75,8.453213
