sigmapred,sigmatrue,RMSE
50.736702,68.5,17.763298
50.865967,58.0,7.134033
51.109364,47.5,3.6093636
51.081512,50.5,0.58151245
50.731274,65.0,14.268726
50.838795,46.0,4.8387947
51.16131,45.5,5.6613083
50.944294,58.5,7.555706
51.02634,45.0,6.0263405
50.782784,74.5,23.717216
50.74994,61.5,10.750061
51.03568,53.0,1.9643211
51.14553,46.5,4.6455307
51.155087,63.5,12.3449135
51.026928,74.5,23.473072
51.079273,51.5,0.42072678
50.755455,47.0,3.755455
50.97706,61.0,10.022942
51.142914,54.5,3.3570862
50.73079,56.0,5.269211
50.73126,65.0,14.268742
51.15141,67.5,16.34859
51.10716,66.5,15.392841
50.838974,47.0,3.838974
50.894066,64.0,13.105934
50.902843,48.5,2.4028435
50.877472,70.0,19.122528
51.132763,74.5,23.367237
50.9882,66.0,15.011799
51.117523,73.0,21.882477
50.73138,67.5,16.76862
50.731667,65.5,14.768333
50.877544,71.0,20.122456
50.967873,69.0,18.032127
51.13152,56.5,5.3684807
51.118988,63.5,12.381012
50.997902,52.0,1.0020981
51.120846,53.5,2.3791542
50.731453,69.0,18.268547
51.016495,64.0,12.983505
50.731167,61.5,10.768833
50.74305,50.0,0.7430496
51.062477,57.0,5.937523
51.1458,54.5,3.3541985
50.73134,65.0,14.2686615
50.92839,47.5,3.4283905
50.865414,53.0,2.1345863
50.902634,46.5,4.4026337
50.73119,62.0,11.26881
50.98813,61.0,10.011871
51.159657,49.5,1.6596565
50.75662,59.0,8.2433815
51.062805,55.0,3.9371948
51.15785,55.5,4.3421516
51.06601,65.0,13.9339905
50.73038,50.5,0.23038101
50.73644,63.0,12.263561
50.731342,67.0,16.268658
50.78212,59.5,8.71788
51.12215,49.0,2.1221504
51.09457,73.0,21.90543
50.744442,71.5,20.755558
50.732197,61.0,10.267803
51.14668,51.5,0.35332108
50.73103,59.5,8.7689705
51.13757,50.0,1.1375694
51.12254,71.0,19.87746
50.736248,59.5,8.763752
50.73063,53.5,2.769371
50.977055,65.0,14.022945
51.1176,72.5,21.3824
51.117985,69.5,18.382015
50.762722,47.0,3.762722
51.15946,48.0,3.1594582
51.146523,52.0,0.8534775
50.894405,70.5,19.605595
51.109177,48.0,3.1091766
51.109474,47.0,4.109474
50.988132,64.5,13.511868
51.035446,56.5,5.464554
51.11823,68.0,16.881771
50.865562,54.5,3.6344376
50.730305,49.0,1.7303047
50.781425,51.0,0.21857452
50.76365,57.0,6.236351
51.155186,68.0,16.844814
51.05127,53.0,1.9487305
51.078335,57.5,6.421665
51.151653,54.0,2.8483467
51.105045,69.5,18.394955
51.1603,48.0,3.1603012
50.731426,67.5,16.768574
50.814953,56.5,5.685047
51.117527,73.0,21.882473
50.731564,51.5,0.76843643
50.740368,67.0,16.259632
50.96765,55.0,4.0323486
50.73117,61.5,10.768829
50.865417,53.5,2.6345825
51.125324,54.5,3.3746758
50.73303,46.0,4.7330284
51.120766,54.0,2.8792343
50.731346,65.0,14.268654
51.079803,61.5,10.420197
50.89332,53.0,2.1066818
50.79393,73.0,22.20607
51.127323,47.5,3.6273232
51.0167,62.0,10.983299
51.079437,64.5,13.420563
50.743427,54.0,3.2565727
51.03595,50.5,0.5359497
51.125282,55.0,3.8747177
51.06282,54.5,3.4371796
51.06611,64.0,12.933891
50.740074,61.5,10.759926
51.061436,70.5,19.438564
51.15477,70.5,19.34523
51.043037,69.5,18.456963
50.82571,58.5,7.6742897
